id,submitdate,lastpage,startlanguage,token,startdate,datestamp,Three36,Three37,Three38,Three39,Three40,Three41,Three42,Three43,Three44,Three45,Three46,Three47,Three48,Three49,Three50,Three51,Three52,Three53,Four54,Four55,Four56,Four57,Four58,Four59,Four60,Four61,Six68,Six69,Six70,Six71,Six72,Six73
1,20/08/2020 12:26,3,de,111,20/08/2020 12:24,20/08/2020 12:26,1,3,2,3,1,3,1,3,4,4,2,NA,4,2,0,2,3,1,4,0,2,3,1,4,0,NA,2,4,3,4,0,0
2,,2,de,1,23/08/2020 10:06,23/08/2020 10:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3,,0,de,,25/08/2020 21:58,25/08/2020 21:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0,de,,25/08/2020 21:58,25/08/2020 21:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,25/08/2020 22:10,3,de,2,25/08/2020 22:05,25/08/2020 22:10,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,NA,0,0,4,4,1,2,3,2,NA,4,3,2,4,1,2
6,25/08/2020 22:44,3,de,1,25/08/2020 22:38,25/08/2020 22:44,0,2,1,0,0,3,0,0,0,0,0,1,0,NA,4,0,NA,0,0,0,0,0,0,0,0,4,3,4,2,3,4,3
7,26/08/2020 12:05,3,de,3,26/08/2020 11:42,26/08/2020 12:05,0,0,1,0,0,0,0,2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,26/08/2020 14:51,3,de,4,26/08/2020 14:45,26/08/2020 14:51,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,3,1,1,1,0,0
9,26/08/2020 14:56,3,de,5,26/08/2020 14:51,26/08/2020 14:56,0,0,1,0,0,1,1,2,4,0,0,1,3,1,0,0,0,0,1,1,1,0,0,1,0,1,3,2,1,1,0,0
10,27/08/2020 13:23,3,de,6,27/08/2020 13:19,27/08/2020 13:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,3,2,2,2,NA,1
11,27/08/2020 13:28,3,de,7,27/08/2020 13:24,27/08/2020 13:28,3,4,3,4,4,1,2,4,2,1,0,4,2,2,1,0,NA,0,0,0,0,0,0,0,0,0,3,2,3,3,1,1
12,31/08/2020 09:41,3,de,8,31/08/2020 09:34,31/08/2020 09:41,2,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,3,3,3,3,0,0
13,31/08/2020 09:53,3,de,9,31/08/2020 09:41,31/08/2020 09:53,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,2,NA,2,0,0,0,0,0,4,1,1,2,0,0
14,01/09/2020 10:48,3,de,10,01/09/2020 10:43,01/09/2020 10:48,0,0,1,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,4,3,2,1,NA,4
15,01/09/2020 10:52,3,de,11,01/09/2020 10:49,01/09/2020 10:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,3,3,2,3,NA,4
16,01/09/2020 19:18,3,de,12,01/09/2020 19:13,01/09/2020 19:18,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1
17,04/09/2020 21:24,3,de,14,04/09/2020 21:06,04/09/2020 21:24,0,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,NA,0,0,0,1,0,0,0,0,0,4,1,2,3,0,2
18,07/09/2020 14:14,3,de,15,07/09/2020 14:03,07/09/2020 14:14,0,0,1,1,1,0,1,1,1,1,0,2,1,0,0,0,1,1,0,0,1,0,1,0,0,0,3,3,4,4,1,1
19,08/09/2020 23:21,3,de,23,08/09/2020 23:16,08/09/2020 23:21,2,2,3,0,1,1,3,4,4,0,0,1,2,NA,2,0,NA,0,0,0,1,0,3,0,1,0,4,4,2,2,2,3
20,10/09/2020 14:24,3,de,27,10/09/2020 14:19,10/09/2020 14:24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0
21,10/09/2020 19:52,3,de,28,10/09/2020 19:48,10/09/2020 19:52,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,2,3,1,2,2,0,0
22,11/09/2020 06:30,3,de,16,11/09/2020 06:27,11/09/2020 06:30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,3,0,2,3,0,1
23,11/09/2020 06:32,3,de,17,11/09/2020 06:30,11/09/2020 06:32,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,0,0,1,0,1,2,0,1
24,11/09/2020 06:34,3,de,18,11/09/2020 06:32,11/09/2020 06:34,2,3,0,1,2,1,1,1,0,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,11/09/2020 06:38,3,de,19,11/09/2020 06:35,11/09/2020 06:38,4,4,3,1,4,1,1,3,1,1,0,0,1,0,0,0,1,1,2,0,4,2,1,0,4,1,1,3,1,1,0,0
26,11/09/2020 13:10,3,de,13,11/09/2020 13:00,11/09/2020 13:10,0,0,1,0,0,2,3,1,0,2,1,1,1,0,1,0,2,4,1,2,3,3,1,2,0,1,3,4,3,3,1,2
27,11/09/2020 18:06,3,de,29,11/09/2020 17:58,11/09/2020 18:06,0,1,2,0,0,1,1,3,1,0,0,1,1,NA,1,0,0,0,0,0,1,0,0,0,0,1,4,1,2,3,1,1
28,13/09/2020 00:52,3,de,31,13/09/2020 00:43,13/09/2020 00:52,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,3,2,2,2,1
29,13/09/2020 01:03,3,de,32,13/09/2020 00:53,13/09/2020 01:03,0,0,2,0,0,2,3,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2,2,2,0,0
30,13/09/2020 10:38,3,de,30,13/09/2020 10:32,13/09/2020 10:38,0,0,3,0,0,1,0,0,1,0,0,0,0,NA,0,0,0,1,0,0,1,0,0,1,0,0,2,2,1,2,0,1
31,13/09/2020 16:54,3,de,37,13/09/2020 16:41,13/09/2020 16:54,0,0,0,0,0,0,0,3,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,0,0
32,13/09/2020 17:10,3,de,38,13/09/2020 16:55,13/09/2020 17:10,0,0,3,0,2,0,0,NA,1,0,0,NA,0,NA,4,0,0,0,4,0,4,4,0,1,0,0,3,4,3,3,2,3
33,13/09/2020 19:07,3,de,33,13/09/2020 18:58,13/09/2020 19:07,0,NA,2,0,0,0,1,2,3,3,0,1,0,1,3,0,NA,0,0,0,2,0,2,0,0,0,4,3,3,3,0,3
34,13/09/2020 19:14,3,de,36,13/09/2020 19:08,13/09/2020 19:14,0,NA,3,0,0,0,2,3,3,2,1,1,1,3,2,0,NA,2,0,0,2,0,0,0,2,0,4,2,3,3,0,2
35,14/09/2020 08:49,3,de,20,14/09/2020 08:38,14/09/2020 08:49,3,1,0,3,4,0,0,4,0,0,0,3,4,NA,1,0,0,0,0,0,0,0,0,0,1,0,2,1,3,3,1,1
36,,0,de,21,14/09/2020 08:50,14/09/2020 08:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,14/09/2020 10:06,3,de,21,14/09/2020 09:42,14/09/2020 10:06,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,3,3,0,2
38,14/09/2020 10:12,3,de,22,14/09/2020 10:07,14/09/2020 10:12,0,0,3,0,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,2,0,2
39,14/09/2020 12:55,3,de,25,14/09/2020 12:51,14/09/2020 12:55,1,1,2,1,1,2,2,0,2,2,1,1,2,0,1,0,1,2,0,0,0,0,0,0,0,0,3,2,4,3,2,2
40,14/09/2020 12:57,3,de,26,14/09/2020 12:55,14/09/2020 12:57,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,2,1,3,1
41,14/09/2020 18:57,3,de,24,14/09/2020 18:51,14/09/2020 18:57,0,0,0,0,1,0,0,1,1,1,0,0,0,NA,2,0,1,1,0,0,0,1,1,1,0,0,4,3,2,2,1,0
42,15/09/2020 09:59,3,de,34,15/09/2020 09:55,15/09/2020 09:59,1,1,3,0,1,1,2,1,0,2,1,1,1,4,2,0,1,3,0,1,3,1,0,2,0,1,4,3,2,2,1,2
43,15/09/2020 22:06,3,de,35,15/09/2020 22:01,15/09/2020 22:06,0,0,2,0,0,1,2,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,3,3,2,2
44,22/09/2020 09:22,3,de,39,22/09/2020 09:15,22/09/2020 09:22,2,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,1
45,22/09/2020 09:27,3,de,40,22/09/2020 09:24,22/09/2020 09:27,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,1,0,0
46,23/09/2020 14:46,3,de,41,23/09/2020 14:17,23/09/2020 14:46,0,0,1,1,1,2,1,1,3,1,0,0,0,0,0,0,2,1,0,2,3,2,1,0,0,1,4,0,2,1,2,3
